rollout/success_rate,rollout/ep_len_mean,time/time_elapsed,time/fps,train/n_updates,train/actor_loss,time/episodes,time/total_timesteps,train/ent_coef_loss,train/critic_loss,train/learning_rate,rollout/ep_rew_mean,train/ent_coef
0.03,99.4,124,919,7166,-7.240812301635742,1140,114768,-13.982526779174805,0.0008600070141255856,0.001,-21.52139855,0.0015189469559118152
0.03,99.4,124,919,7177,-7.136563777923584,1144,114944,-11.562604904174805,0.003926015924662352,0.001,-21.32119298,0.0015090917004272342
0.03,99.4,125,919,7193,-7.1727213859558105,1148,115200,-17.889686584472656,0.0012043046299368143,0.001,-20.938348589999997,0.0014968847390264273
0.03,99.4,125,919,,,1152,115200,,,,-20.938348589999997,
0.03,99.4,126,921,7266,-7.07551383972168,1156,116368,-12.853814125061035,0.30365097522735596,0.001,-20.66354867,0.001437244936823845
0.02,99.64,126,921,7277,-7.047999382019043,1160,116544,-7.111546039581299,0.002199634211137891,0.001,-20.650084449999998,0.001429363968782127
0.02,99.64,126,920,7293,-7.019417762756348,1164,116800,-13.928455352783203,0.0008653291151858866,0.001,-20.797222379999997,0.0014208981301635504
0.02,99.64,126,920,,,1168,116800,,,,-20.797222379999997,
0.02,99.64,128,921,7366,-7.082394599914551,1172,117968,-11.77380657196045,0.0006037986022420228,0.001,-20.764015869999998,0.0013666091253980994
0.01,99.83,128,921,7377,-6.975236415863037,1176,118144,-11.367044448852539,0.0004485535901039839,0.001,-20.55012392,0.0013582188403233886
0.01,99.83,128,921,7393,-7.061148643493652,1180,118400,-10.592148780822754,0.006327730603516102,0.001,-20.470109289999996,0.0013465661322697997
