time/total_timesteps,rollout/success_rate,rollout/ep_len_mean,time/episodes,time/fps,rollout/ep_rew_mean,time/time_elapsed,train/n_updates,train/learning_rate,train/critic_loss,train/ent_coef,train/actor_loss,train/ent_coef_loss
188800,0.02,197.24,940,922,-17.73815203,204,11174,0.001,0.00011255426215939224,0.0002395507472101599,-0.4228079617023468,-2.3573665618896484
188800,0.02,197.24,944,922,-17.73815203,204,,,,,,
188816,0.02,197.24,948,922,-17.60515188,204,11175,0.001,0.0003562131314538419,0.00023954024072736502,-0.3893798589706421,-4.266097545623779
190176,0.02,197.24,952,921,-17.084568809999997,206,11260,0.001,0.00010094802564708516,0.00023618506384082139,-0.4099506139755249,-1.0734267234802246
192000,0.02,197.24,956,921,-16.778435520000002,208,11374,0.001,0.00016799912555143237,0.0002304598456248641,-0.36728572845458984,-3.745835781097412
192000,0.02,197.24,960,921,-16.778435520000002,208,,,,,,
192016,0.02,197.24,964,921,-16.91223518,208,11375,0.001,0.00013848602247890085,0.00023041699023451656,-0.3620151877403259,-2.62994122505188
193376,0.02,197.24,968,920,-16.92681549,209,11460,0.001,0.0001740048173815012,0.00023129169130697846,-0.3756381869316101,-12.397178649902344
195200,0.01,198.38,972,920,-16.47412038,212,11574,0.001,7.425821968354285e-05,0.00022561989317182451,-0.3291882872581482,0.4254429340362549
195200,0.01,198.38,976,920,-16.47412038,212,,,,,,
195216,0.01,198.38,980,920,-16.58142966,212,11575,0.001,8.200010779546574e-05,0.0002255736180813983,-0.311574250459671,-0.18865205347537994
196016,0.02,196.89,984,920,-16.38021586,212,11625,0.001,9.509287338005379e-05,0.0002238427405245602,-0.32131102681159973,-2.886345863342285
198400,0.02,196.89,988,919,-15.95535179,215,11774,0.001,0.000123458870803006,0.0002218490990344435,-0.3154205083847046,3.296104907989502
198400,0.02,196.89,992,919,-15.95535179,215,,,,,,
198416,0.02,196.89,996,919,-15.96042331,215,11775,0.001,0.0007081874646246433,0.00022185753914527595,-0.2806681990623474,6.789180755615234
199216,0.02,196.89,1000,920,-15.84343007,216,11825,0.001,0.00021860262495465577,0.0002219038869952783,-0.2371644675731659,0.20684438943862915
201600,0.02,196.89,1004,919,-15.749886609999999,219,11974,0.001,9.112608677241951e-05,0.00022182856628205627,-0.23924344778060913,-4.063286781311035
201600,0.02,196.89,1008,919,-15.749886609999999,219,,,,,,
201616,0.02,196.89,1012,919,-15.59859483,219,11975,0.001,0.0001778306032065302,0.00022167418501339853,-0.23618486523628235,-3.1425704956054688
202416,0.02,196.89,1016,919,-15.445683190000002,220,12025,0.001,0.00041757195140235126,0.0002195881970692426,-0.20080944895744324,-1.2563018798828125
203616,0.02,197.47,1020,918,-15.34561764,221,12100,0.001,0.00011950659973081201,0.00021833779464941472,-0.2292734682559967,-4.704785346984863
204800,0.02,197.47,1024,918,-15.13660223,222,12174,0.001,9.062502067536116e-05,0.00021334712801035494,-0.23325610160827637,-3.1331117153167725
204816,0.02,197.47,1028,918,-14.73438811,222,12175,0.001,0.00011532302596606314,0.00021332883625291288,-0.22254741191864014,-2.615318775177002
205616,0.02,197.47,1032,918,-14.6679955,223,12225,0.001,0.0002666354412212968,0.0002126479521393776,-0.2942797839641571,-2.6910529136657715
206480,0.03,196.52,1036,918,-14.605023469999999,224,12279,0.001,0.00016159452206920832,0.00021056857076473534,-0.20882003009319305,-2.835665225982666
208000,0.03,196.52,1040,917,-14.99381017,226,12374,0.001,9.399064583703876e-05,0.00020553192007355392,-0.1610787808895111,0.05174458026885986
208016,0.03,196.52,1044,917,-15.031811410000003,226,12375,0.001,0.00011267550144111738,0.00020543178834486753,-0.1705596148967743,-0.5060405135154724
208816,0.03,196.52,1048,917,-14.81197552,227,12425,0.001,0.0002407647843938321,0.00020335701992735267,-0.1370370239019394,-0.3978229761123657
209536,0.04,195.97,1052,917,-14.529531509999996,228,12470,0.001,0.00020070665050297976,0.00020174426026642323,-0.1868365854024887,2.852576494216919
211200,0.04,195.97,1056,917,-14.35792462,230,12574,0.001,0.00010461552301421762,0.0002008539013331756,-0.1401100903749466,-4.023639678955078
211216,0.04,195.97,1060,917,-14.336147640000002,230,12575,0.001,9.519185550743714e-05,0.0002008560113608837,-0.16443419456481934,-8.15774154663086
212016,0.04,195.97,1064,916,-14.224312019999998,231,12625,0.001,8.854341285768896e-05,0.00019949163834098727,-0.12105683982372284,4.948587894439697
212736,0.04,195.97,1068,916,-14.422411460000001,232,12670,0.001,0.00037428142968565226,0.00020090120960958302,-0.14346829056739807,0.8544378280639648
214400,0.04,195.97,1072,916,-14.334200559999998,233,12774,0.001,9.101744217332453e-05,0.00019888814131263644,-0.11331136524677277,5.115708827972412
214416,0.04,195.97,1076,916,-14.367480199999997,233,12775,0.001,8.802670345176011e-05,0.00019899873586837202,-0.13495175540447235,0.17627780139446259
215216,0.04,195.97,1080,916,-14.323341859999998,234,12825,0.001,0.000116893628728576,0.00019770790822803974,-0.119283527135849,-4.007162094116211
215936,0.03,197.46,1084,916,-14.504696320000003,235,12870,0.001,0.00018626029486767948,0.0001960789959412068,-0.10076840221881866,0.2634158134460449
217600,0.03,197.46,1088,916,-14.42095425,237,12974,0.001,0.00019904864893760532,0.00019287748727947474,-0.13558155298233032,0.019289255142211914
217616,0.03,197.46,1092,916,-14.364915430000002,237,12975,0.001,0.00010545623081270605,0.00019288853218313307,-0.08849860727787018,0.6654463410377502
218416,0.03,197.46,1096,915,-14.328112840000001,238,13025,0.001,9.959984163288027e-05,0.00018915934197138995,-0.08354002982378006,0.2814810276031494
219136,0.03,197.46,1100,915,-14.253016839999997,239,13070,0.001,0.00010690926865208894,0.0001873798610176891,-0.09579844772815704,-1.9777390956878662
